===============================================================
Gobuster v3.5
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://www.geeksforgeeks.org/backups
[+] Method:                  GET
[+] Threads:                 20
[+] Wordlist:                /home/kali/Downloads/SecLists-master/Discovery/Web-Content/common.txt
[+] Negative Status codes:   301,404
[+] Exclude Length:          335,334
[+] User Agent:              gobuster/3.5
[+] Extensions:              txt
[+] Expanded:                true
[+] Timeout:                 10s
===============================================================
2023/08/27 08:48:48 Starting gobuster in directory enumeration mode
===============================================================
[2Khttps://www.geeksforgeeks.org/backups/.well-known/dnt-policy.txt.txt (Status: 403) [Size: 336]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/dots     (Status: 403) [Size: 310]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/dnt-policy.txt (Status: 403) [Size: 328]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/core.txt (Status: 403) [Size: 319]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/csvm     (Status: 403) [Size: 310]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/dnt      (Status: 403) [Size: 310]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/dots.txt (Status: 403) [Size: 318]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/dnt.txt  (Status: 403) [Size: 318]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/est.txt  (Status: 403) [Size: 317]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/ecips.txt (Status: 403) [Size: 320]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/enterprise-transport-security.txt (Status: 403) [Size: 351]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/ecips    (Status: 403) [Size: 311]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/est      (Status: 403) [Size: 309]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/enterprise-transport-security (Status: 403) [Size: 344]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/genid    (Status: 403) [Size: 312]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/hoba     (Status: 403) [Size: 311]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/host-meta.txt (Status: 403) [Size: 328]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/genid.txt (Status: 403) [Size: 320]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/hoba.txt (Status: 403) [Size: 319]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/host-meta.json (Status: 403) [Size: 329]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/host-meta.json.txt (Status: 403) [Size: 336]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/idp-proxy (Status: 403) [Size: 319]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/host-meta (Status: 403) [Size: 319]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/jmap.txt (Status: 403) [Size: 318]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/http-opportunistic (Status: 403) [Size: 328]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/idp-proxy.txt (Status: 403) [Size: 327]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/http-opportunistic.txt (Status: 403) [Size: 336]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/keybase.txt.txt (Status: 403) [Size: 330]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/jmap     (Status: 403) [Size: 310]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/jwks.json (Status: 403) [Size: 320]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/looking-glass (Status: 403) [Size: 323]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/looking-glass.txt (Status: 403) [Size: 331]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/jwks.json.txt (Status: 403) [Size: 328]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/keybase.txt (Status: 403) [Size: 321]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/mercure.txt (Status: 403) [Size: 322]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/matrix   (Status: 403) [Size: 313]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/mercure  (Status: 403) [Size: 314]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/mta-sts.txt.txt (Status: 403) [Size: 333]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/mud      (Status: 403) [Size: 309]
